"csm",140,4.2928571428571427
"LD",84,4.1309523809523814
"Ghenghis",73,4.3561643835616435
"Rachel",68,4.2058823529411766
"chaos",67,3.6119402985074629
"Jennifer",60,3.7833333333333332
"Elizabeth",56,4.5714285714285712
"Carol",55,4.4
"ephemeral",55,3.7636363636363637
"nonpareil",50,4.46
"AJ",49,4.1836734693877551
"Bill",48,4.4375
"eyecore",43,3.5813953488372094
"slaphappy",40,4
"Misty",40,4.875
"My2Cents",38,4.0526315789473681
"angle",37,5
"cb",37,4.1891891891891895
"l2",34,3.5
"bookreader",33,4.5151515151515156
"Heather",33,4.6969696969696972
"Seanna",33,4.666666666666667
"anon",31,5
"J",30,4.6333333333333337
"Chandler",29,4.2068965517241379
"jt",29,3.4482758620689653
"Diana",28,4.4642857142857144
"Annie",28,4.3214285714285712
"Kiwi",26,4
"randee",26,4.115384615384615
"Debbie",25,4.84
"reg",25,4.2
"Kendra",22,4.2727272727272725
"Grace",22,4.2272727272727275
"A",21,4.666666666666667
"Renter",21,4.4285714285714288
"woowoo",21,4.5238095238095237
"Phyllis",21,4.3809523809523814
"dottie",21,4.7619047619047619
"puddles",21,4.8571428571428568
"Esme",21,3.9523809523809526
"audrey",20,4.45
"Maggie",20,4.55
"naturegirl",20,3.85
"van",19,4.5263157894736841
"johnny",19,4.5789473684210522
"gk",19,4.7894736842105265
"Shelley",18,4.5555555555555554
"pen",18,4.4444444444444446
"honeybee",18,4.4444444444444446
"Butterworth",17,3.8235294117647061
"joan",17,4.8235294117647056
"Emily",17,4.4705882352941178
"Pamela",17,3.8823529411764706
"nychen",17,4
"Bud",16,3.0625
"bon",16,4.3125
"Suz",16,4.625
"AlisonA",16,4.375
"goodsign",16,4
"319",16,4.0625
"barry",16,4.4375
"Kathryn",16,3.125
"Darla",16,4.6875
"Tanzina",16,4.25
"me2",15,4.6
"gma",15,4.666666666666667
"JJ",15,4.8666666666666663
"Cher",15,3.8666666666666667
"Muttley",15,4.5333333333333332
"Caroline",15,4.1333333333333337
"jb",15,4.6
"Cathy",14,4.8571428571428568
"mkultra",14,4.2857142857142856
"LZ",14,4.9285714285714288
"LoveBug",14,4.2142857142857144
"1",14,4.7142857142857144
"booksy",14,3.5
"reviewer",14,3.9285714285714284
"scwheeler",14,4.8571428571428568
"CMB",14,4.2142857142857144
"Autumn",14,4.3571428571428568
"simone",14,3.5714285714285716
"ruks",13,3.6153846153846154
"warrior",13,4.384615384615385
"patchouli",13,4.7692307692307692
"dremin",13,4.384615384615385
"Boudin",13,4.4615384615384617
"Bren",13,3.6923076923076925
"RJ",13,4.1538461538461542
"Poogy",13,3.2307692307692308
"astraycat",13,4.384615384615385
"shovenose",13,4.384615384615385
"tari",13,4.6923076923076925
"teejay",13,4.8461538461538458
"tom",13,3.4615384615384617
"fox",12,4.75
"Moto",12,4.416666666666667
"Malvin",12,4.5
"athena",12,4.916666666666667
"lore",12,3.25
"Eusebius",12,5
